14.03	14.16	0.8796	5.438	3.201	1.717	5.001	1
14.38	14.21	0.8951	5.386	3.312	2.462	4.956	1
13.8	14.04	0.8794	5.376	3.155	1.56	4.961	1
12.72	13.57	0.8686	5.226	3.049	4.102	4.914	1
12.78	13.57	0.8716	5.262	3.026	1.176	4.782	1
13.45	14.02	0.8604	5.516	3.065	3.531	5.097	1
14.49	14.61	0.8538	5.715	3.113	4.116	5.396	1
13.89	14.02	0.888	5.439	3.199	3.986	4.738	1
14.29	14.09	0.905	5.291	3.337	2.699	4.825	1
16.14	14.99	0.9034	5.658	3.562	1.355	5.175	1
14.52	14.6	0.8557	5.741	3.113	1.481	5.487	1
15.5	14.86	0.882	5.877	3.396	4.711	5.528	1
14.46	14.35	0.8818	5.388	3.377	2.802	5.044	1
12.74	13.67	0.8564	5.395	2.956	2.504	4.869	1
17.63	15.86	0.88	6.033	3.573	3.747	5.929	2
18.65	16.41	0.8698	6.285	3.594	4.391	6.102	2
18.85	16.17	0.9056	6.152	3.806	2.843	6.2	2
18.45	16.12	0.8921	6.107	3.769	2.235	5.794	2
17.63	15.98	0.8673	6.191	3.561	4.076	6.06	2
17.99	15.86	0.8992	5.89	3.694	2.068	5.837	2
16.84	15.67	0.8623	5.998	3.484	4.675	5.877	2
17.98	15.85	0.8993	5.979	3.687	2.257	5.919	2
18.95	16.42	0.8829	6.248	3.755	3.368	6.148	2
20.71	17.23	0.8763	6.579	3.814	4.451	6.451	2
19.31	16.59	0.8815	6.341	3.81	3.477	6.238	2
18.94	16.49	0.875	6.445	3.639	5.064	6.362	2
18.72	16.19	0.8977	6.006	3.857	5.324	5.879	2
18.3	15.89	0.9108	5.979	3.755	2.837	5.962	2
11.84	13.21	0.8521	5.175	2.836	3.598	5.044	3
12.7	13.41	0.8874	5.183	3.091	8.456	5.0	3
11.41	12.95	0.856	5.09	2.775	4.957	4.825	3
11.81	13.45	0.8198	5.413	2.716	4.898	5.352	3
10.74	12.73	0.8329	5.145	2.642	4.702	4.963	3
10.83	12.96	0.8099	5.278	2.641	5.182	5.185	3
11.83	13.23	0.8496	5.263	2.84	5.195	5.307	3
11.56	13.31	0.8198	5.363	2.683	4.062	5.182	3
11.23	12.88	0.8511	5.14	2.795	4.325	5.003	3
11.19	13.05	0.8253	5.25	2.675	5.813	5.219	3
12.05	13.41	0.8416	5.267	2.847	4.988	5.046	3
11.55	13.1	0.8455	5.167	2.845	6.715	4.956	3
11.43	13.13	0.8335	5.176	2.719	2.221	5.132	3
12.54	13.67	0.8425	5.451	2.879	3.082	5.491	3
